"id","section_id","title","order_number","url","description_id"
"4be8072d-60ab-4b22-ba72-ab6acb5762d8","cdb18736-9ed1-4ad9-a6d1-f623ec08ed43","Обекти","37","https://www.loom.com/embed/3a678ec60ae04585937115962f64684e?sid=7bb847dc-f62f-4020-98d3-69de5f5379be","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4c89770c-21f5-4ddf-85ed-9766592bb803","a31fdcd6-2c9e-4627-a639-9d2b5efb5074","Добавяне на JavaScript","89","https://www.loom.com/embed/26221baccb8c44398f64d1b27fb31a36?sid=b8228301-5f8f-4aee-ae6b-96d8d606deb6","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4caeb895-4077-47ba-b822-f9e8d5a73c56","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Работа с цветове 2","17","https://www.loom.com/embed/9d8f478bcbf94d809ea5080afaaac138?sid=d2662e62-6e8b-430f-86cf-ae953cb19c1d","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4cfc9f4e-d93b-413c-a807-3510bdebadb9","00950471-14e8-48ce-b191-4db30386af72","Цветове","13","https://www.loom.com/embed/7deaf00b789c418b8469d2f076c26a48?sid=1630c890-2971-4ae7-99aa-0d43fdfbc54a","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4d1395f8-8584-4046-a4fd-26a308fb6d11","cdb18736-9ed1-4ad9-a6d1-f623ec08ed43","Работа с текст","34","https://www.loom.com/embed/910cbd77d6cb46cdb08d7785142bb7c3?sid=2edb0912-27d6-4d63-8ddc-a9a89c9ba819","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4eb4d402-5c39-4e10-82ce-74dd4c2f67dc","b0ab7cfc-ff3f-4939-ab86-6ee10085dc4b","Текстови елементи","2","https://www.loom.com/embed/3beddc7a18f941d3a10988f401ba2fd5?sid=af07e0ca-7dd0-42a0-9dca-a865cb640720","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"4ebf869f-4310-4dc4-bcbb-725a6b028c43","a31fdcd6-2c9e-4627-a639-9d2b5efb5074","Начална секция (hero)","71","https://www.loom.com/embed/85c1ea2516f649c2805fb702281ac8f1?sid=b9fb317d-7b9a-4248-97c3-78c361b6eb97","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"507d3af6-e192-4161-8162-6c6378aa5862","9e0be2f0-c846-4d75-bef0-4eea53dc0276","Имплементация на ""Играй отново""","50","https://www.loom.com/embed/195cd19c4a2c491aa76fe5415b14b6ac?sid=b26c25fa-d147-4670-bca7-092a5e37bbe5","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"5233a87a-d77f-4063-abde-64b7eae8e29e","9b649395-a843-45bf-b3bb-849884262530","Изграждане на опростен CSS Grid оформление","50","https://www.loom.com/embed/881fa05619284f19ab6d87da378e22ee?sid=83c4555d-9742-4781-b490-2ebab0e6d96e","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"526b5ea7-ff76-4d7e-b89a-0f2c427571b8","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Теория на CSS #2: Наследяване","22","https://www.loom.com/embed/21e12b203d434ec1b537d03862190b63?sid=efda909b-6779-485f-8473-a4b9aab6cab2","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"52c21e14-6089-4561-8b28-168d8652e6d0","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Подобрени литерали на обекти","71","https://www.loom.com/embed/036022e36cd44928bd8d716b2b0f15f1?sid=4c301900-fcb7-41e2-9353-6255278b5537","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"551be746-27a0-4898-8e66-98522e86ff13","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Нови операции, които правят Sets(Множествата) полезни ","76","https://www.loom.com/embed/7af61b8e7dc14f7195756559ba22334e?sid=fceb725f-8f9a-477e-8468-a33f629f75c4","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"555c13a4-84fa-4069-9d92-bf2fe933dde8","8c25c482-89ab-4138-bdc3-778f6d92904e","Предизвикателство #4","22",,"919c1021-e921-48b6-b6ce-634137f718b6"
"55783bb0-9551-46b4-b4d8-e40c487bf0a6","a31fdcd6-2c9e-4627-a639-9d2b5efb5074","Качване в интернет","90","https://www.loom.com/embed/a0d701ca4f1c40c2b036fb9fdd80456e?sid=740d4277-8a4a-4b0d-b9b3-7ef3bae542c8","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"557eb11f-c4c6-4a8a-9680-d3dc7d8f5130","249c6614-b5f4-458b-9837-d1f4454c974d","Финализиране на навигационната лента и футъра","65","https://www.loom.com/embed/c2221898453844e6822088369e4dd88e?sid=9ffe01d0-2d22-456d-af99-90e02732bcff","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"5587884b-ca50-4eab-a39a-a7fb36e0bb9c","5ebd12ca-541a-4d3f-b212-1eaeded5be5d","Препратка към HTML от MDN","2",,"201c3a98-3193-4f64-8ff1-a515fe54d37e"
